0,1,2
A000,D145,E540
A000,D160,D130
A000,D000,C642
A000,D250,D500
A000,D250,M600
A000,D200,M615
A000,D450,W450
A000,D524,W450
A000,D620,S600
A000,D256,L532
A000,D250,C532
A000,D250,F630
A000,D250,G626
A000,D250,S250
A000,D325,L200
A000,D325,R543
A000,D230,R530
A000,D540,S600
A000,D325,D242
A000,D100,J520
A000,D100,P362
A000,D620,T600
A000,D623,J516
A000,D263,W530
A000,D140,N500
A000,D252,R150
A000,D525,C623
A000,D160,M240
A000,D650,C640
A000,D650,J200
A000,D100,R250
B600,E400,M345
A000,E355,E220
A000,E363,B164
A000,E363,G163
A000,E452,B634
A000,E430,J525
A000,E425,J520
A000,E524,L600
A000,E520,B653
E200,E520,E150
A000,E520,J210
A000,E520,L200
A000,E520,P400
A000,E520,A423
A000,E162,P410
A000,E262,F645
A000,E215,S400
B400,E152,A650
A000,E152,R200
A000,E152,R000
A000,F562,H360
A000,F622,M240
A000,F652,M435
A000,F640,M620
A000,F620,S650
B000,F635,C640
A000,F260,R120
A000,F435,B400
A000,F432,D645
A000,F622,D553
A000,F622,S315
A000,F432,E530
A000,F600,J500
A000,F400,G620
A200,F260,S315
A000,F326,M600
A000,F326,S600
A000,F420,D540
A000,F453,T600
A000,F430,J600
A000,F462,J563
A000,F462,L600
A000,F462,T620
A000,F462,B200
A000,F462,P410
A000,F450,P362
A000,F453,D435
A000,F245,F630
A000,F245,S650
A000,F245,W450
B000,F435,D130
A000,F612,B653
A000,F612,S550
A000,F630,L400
A000,F623,S600
A000,F236,I150
A000,F236,O400
A000,F236,O320
A000,F236,R000
A000,F236,S410
A000,F230,A524
A000,F230,F350
A000,F230,J245
A000,F230,N220
A000,F230,W530
A000,F200,D242
A000,F652,J530
A000,F652,L200
A000,F626,M600
A000,F636,E421
A000,F652,J200
A000,F621,J250
A000,F600,D130
A000,F600,N242
A000,F460,R150
A000,F460,S655
A000,G456,D500
A000,G400,F636
A000,G530,J210
A000,G656,A500
A000,G625,G600
C100,G625,J200
A000,G252,B653
A000,G320,J500
A000,G320,L400
A000,G320,W530
A000,G536,C650
A000,G652,T530
A000,G125,R100
E000,G125,Z260
A000,G416,C300
A000,G450,A500
A000,G450,R250
E000,G450,S410
A000,G456,J400
A000,G420,J500
A000,G425,L500
A000,G420,S400
A000,G422,E132
A000,G453,J500
A000,G425,T450
A000,G416,K510
A000,G316,L600
A000,G520,L500
A000,G432,P200
A000,G452,C623
A000,G300,A524
B000,G640,C640
A000,G620,S250
A000,G630,J516
A000,G650,K345
A000,G612,E645
A000,G612,J520
A000,G612,J235
A000,G612,K300
A000,G612,P362
A000,G612,T460
A000,G600,G432
A000,G600,L200
A000,G600,R163
A000,G626,H100
A000,G615,A500
A000,G615,D130
A000,G652,G400
A000,G624,C640
A000,G625,P500
A000,G634,A562
A000,G300,R263
A000,G426,J516
A000,G526,D500
A000,G536,L253
A000,G550,T520
A000,G360,D500
A000,G360,M620
A000,G362,J500
A000,H330,D130
A000,H600,J520
A000,H300,K516
A000,H300,T620
A000,H322,G400
A000,H322,L200
A000,H420,K516
A000,H400,D543
A000,H400,H645
A000,H400,L600
A000,H400,L650
A000,H400,S560
A000,H400,S315
A000,H400,W240
A000,H514,G450
A000,H510,M600
A000,H543,S400
A000,H543,K200
A000,H543,W420
A000,H545,S315
A000,H635,L530
A000,H636,S250
A000,H635,S600
A000,H655,J500
A000,H640,R163
A000,H642,A500
A000,H642,J530
A000,H620,E145
A000,H620,M240
A000,H620,N340
A000,H620,S600
A000,H620,W416
A000,H635,J520
A000,H610,A452
A000,H252,A452
A000,H320,R263
A000,H324,T530
A000,H314,D500
A000,H500,J300
A000,H520,G632
D500,H322,K300
A000,H536,D520
A000,H524,J500
A000,H524,T530
A000,H532,L650
A000,H615,J522
A000,H655,B452
A000,H655,M650
A000,H250,J500
A000,H236,T600
A000,H200,M620
A000,H200,T460
A000,H400,D100
A000,H400,M530
A000,H520,S320
A000,H520,C415
A000,H260,A500
A000,H156,A500
A000,H400,A645
B000,H453,V236
A000,H453,W450
A000,H453,M620
A000,H430,W450
A000,H400,F420
A000,H455,J210
A000,H430,B200
A000,H430,D540
A000,H430,J210
A000,H430,M240
A000,H430,O320
A000,H430,S315
A000,H430,V200
A000,H160,N520
A000,H125,K365
A000,H653,T610
A000,H650,S536
A000,H635,A535
A000,H635,C540
E500,H635,J540
A000,H630,W450
B000,H635,B400
A000,H624,K650
A000,H624,L600
A000,H325,M300
A000,H325,C625
A000,H220,K530
A000,H252,B653
A000,H516,T520
A000,H530,G620
A000,H530,V200
A000,H200,J520
A000,H300,M200
E000,H520,H630
A000,I160,P140
B000,I524,J520
A000,I524,C640
A000,I550,M324
A000,I240,B616
E500,J250,C530
A000,J250,G620
D000,J520,N520
A000,J520,S650
A000,J630,I650
A000,J612,J520
A000,J162,W450
A000,J162,I214
A000,J162,R362
A000,J120,E450
A000,J236,C450
A000,J500,J500
A000,J525,C600
A000,J525,C630
A000,J525,D130
A000,J525,D420
D000,J525,F636
D100,J525,I600
A000,J525,J600
A000,J525,J200
D200,J525,P200
A000,J525,R453
A000,J525,R240
A000,J520,A430
A000,J520,A500
A000,J520,C430
A000,J520,D130
A000,J520,J500
A000,J520,K300
A000,J520,M240
A000,J520,R263
A500,J520,S250
A000,J520,T620
A000,J145,C623
B000,J635,C642
A000,J200,J210
A000,J200,S650
A000,J560,J500
A000,J320,L600
A000,J232,C655
A000,K630,J400
A000,K200,D630
A000,K200,J500
A000,K400,R530
D000,K500,R163
A000,K450,S536
A000,K400,J500
A000,K420,B164
A000,K530,B650
A000,K640,J500
A000,K300,E650
A000,K456,S640
A000,K516,C632
A000,K536,G400
B000,K520,B653
A000,K520,G600
A000,K520,J500
A000,K520,J635
A000,K365,S315
A000,K460,T300
A000,K412,S315
A000,K000,K600
A000,K610,E420
A000,K626,J220
A000,L161,P360
A000,L510,A350
A000,L510,A416
A000,L530,D645
A000,L500,N140
A000,L524,C645
A000,L524,C642
A000,L153,D500
A000,L625,E421
A000,L600,T600
A000,L350,J000
E200,L652,P600
A000,L000,C362
A000,L000,D160
A000,L000,P362
A000,L300,B653
A000,L300,V600
A000,L000,D420
A000,L000,H625
B600,L300,K650
B200,L563,I500
A000,L200,F000
A000,L252,W530
A000,L532,C534
A000,L532,M520
A000,L516,J530
A000,L552,J530
A000,L354,B164
A000,L340,A420
A000,L300,D543
E000,L300,J500
A000,L300,R350
A000,L250,R263
A000,L240,J520
A000,L132,S500
B000,L550,L200
A000,L520,D552
A000,L520,R530
A000,L120,W530
A000,L630,A450
A000,L100,R200
A000,L000,T620
A000,L220,B653
A000,L220,J520
A000,L512,L165
A000,L562,C623
A000,L200,E620
A000,L520,C560
A000,L520,K623
A300,M160,P410
A000,M235,N400
A000,M200,A240
A000,M362,A252
A000,M460,B616
A000,M500,C642
A000,M520,J520
A000,M560,B600
A000,M520,E650
A000,M525,D500
A000,M500,B300
A000,M500,J520
A000,M500,J220
A200,M500,P400
A000,M552,H560
A000,M552,R530
A000,M521,T620
A000,M625,A500
A000,M656,R253
A000,M624,J520
D000,M635,B634
A000,M635,K150
A000,M635,P410
A000,M635,W650
A000,M635,G416
C000,M240,M620
A000,M251,J520
A000,M364,S300
D200,M364,T520
A000,M320,J535
A000,M320,E520
A000,M500,P400
A000,M000,R120
A000,M400,S600
B500,M560,E650
A000,M350,B632
A000,M220,E145
A000,M230,J520
A000,M236,G432
A000,M216,V450
A000,M250,P362
A000,M240,G626
A000,M253,H610
A000,M250,C300
A000,M250,J160
A000,M246,A450
A000,M220,S500
A000,M265,C435
A000,M235,T520
A000,M235,E540
A000,M216,M600
B000,M200,K150
A000,M241,C530
D000,M260,K623
A000,M253,E421
A000,M253,M300
A000,M250,S600
D000,M250,K450
A000,M250,D620
A000,M250,G620
A000,M250,N400
A000,M252,M630
A000,M254,N520
A000,M254,R163
E000,M213,M622
A000,M216,L500
A000,M210,B300
A000,M210,S560
A000,M300,E540
A000,M150,K500
A000,M150,S500
A000,M340,D552
A000,M200,A425
A000,M435,E420
A000,M532,J400
A000,M500,M240
A000,M626,B634
A000,M626,C623
A000,M420,N242
A000,M420,B100
A300,M420,J520
A000,M420,S600
D000,M460,B616
A000,M460,C635
A000,M460,E350
A000,M460,J235
A000,M460,P450
A000,M425,J500
A000,M420,E450
A000,M324,A500
A000,M324,J520
A000,M324,J200
A000,M324,M620
A000,M324,R120
A500,M324,S315
A000,M200,M240
A000,M200,S640
A000,M560,K150
A000,M560,S650
A000,M532,L240
A000,M300,J220
A000,M500,D130
A000,M600,B616
A000,M600,R534
A000,M600,S600
A000,M600,C500
A000,M614,K365
A000,M645,G635
A000,M625,D500
A000,M620,P320
A000,M620,R150
A000,M620,T360
A000,M620,T300
A000,M620,L600
A000,M625,B634
D200,M600,P624
A000,M635,J500
A000,M635,R530
A000,M240,K150
E000,M200,M240
A000,M452,L600
A000,M632,D530
A000,M610,R263
A000,M620,R163
A000,N345,S250
A000,N460,D500
A000,N400,C623
A000,N350,K650
A000,N452,L400
B400,N425,S540
A000,N550,X160
A000,N350,A524
A000,N242,K530
A000,N260,J210
A000,N200,K365
A000,N620,J520
A000,N500,L200
A000,O100,J420
A000,O165,S640
A000,O256,J500
A000,O354,M620
A000,O352,D540
A000,O420,J535
A000,O416,B300
A000,O416,U500
A000,O540,S250
A000,O652,C623
A000,O216,M620
A000,O216,S640
A000,O233,K150
A000,O236,S536
A000,O165,A553
A000,O165,A524
A000,O520,T500
D600,O253,N240
A000,P200,J500
A000,P450,J220
A000,P626,D242
A000,P626,F630
A000,P626,T530
A000,P620,P362
B400,P625,S315
A000,P625,C632
A000,P362,L650
A000,P362,B632
A000,P362,C623
A000,P362,J500
A000,P460,I630
A000,P220,J500
A000,P142,D640
A000,P536,R263
A000,P545,F636
A000,P552,J500
A000,P500,P624
A000,P620,J220
A000,P652,A536
A000,P620,M645
A000,P600,A416
A000,P600,D500
A000,P600,J400
A000,P600,K650
A000,P600,M240
A000,P600,T500
A000,P362,N242
A000,P362,T620
A000,P362,M600
A000,P316,M635
A000,P412,J535
A000,P412,C416
A000,P412,H400
A000,P412,R500
A000,P263,C640
A000,P263,F636
A000,P620,S315
A000,P520,K623
A000,P320,A524
A000,P320,R163
A000,P000,W450
A000,P430,J500
B000,P560,M240
A000,P620,C623
A000,P614,W450
A000,P330,M000
A000,P340,M620
A000,P320,R500
A000,P362,S600
A000,P624,D500
C000,P620,D500
A000,P620,J210
A000,P630,R000
A000,P623,M240
A000,P623,R263
A000,P660,R543
A000,Q420,D540
A000,Q420,V200
A000,R320,K300
A000,R562,M653
A000,R520,D500
A000,R341,C620
A000,R420,D500
A000,R000,C600
A000,R000,V200
A000,R553,B400
A000,R120,C630
A000,R120,J500
A000,R300,B653
A000,R300,J210
A000,R400,L560
A000,R200,G626
A000,R320,B653
A000,R200,E450
A000,R200,E145
A000,R200,J520
A000,R200,P410
A000,R200,C645
A000,R255,C530
A000,R255,J200
A000,R255,K600
B000,R255,L600
A000,R255,M240
A000,R255,T520
A000,R320,C640
A000,R340,D400
D000,R210,C642
A000,R230,W450
A000,R400,D500
A000,R400,K530
A000,R400,O500
A000,R120,J200
A000,R320,B600
A000,R320,T300
A000,R162,J500
A000,R162,C654
B400,R163,H300
A000,R163,T520
A000,R163,W350
A000,R152,E300
A000,R152,E421
A000,R152,M300
A000,R152,R163
A000,R152,R453
A000,R240,D130
C000,R326,J520
A000,R362,L200
A000,R362,Z456
A000,R262,G460
A000,R262,J300
A000,R262,T300
E000,R220,J516
A000,R500,A500
A000,R160,Q535
A000,R200,C365
A000,R200,S315
A000,R252,P400
A000,R200,C642
A000,R200,M613
A000,R200,J200
A000,R300,W450
A000,R324,J520
A000,R341,B400
A000,R000,S640
A000,R240,E620
A000,R240,S450
A000,R320,L240
E000,R343,K623
A000,R500,S600
A000,S100,J516
A000,S436,G164
A000,S522,J200
A000,S536,M600
A000,S536,M532
A000,S240,C640
A000,S260,M240
A000,S361,G453
A000,S400,G620
A000,S536,T500
A000,S620,N655
A000,S460,R350
A000,S460,S536
A000,S643,S640
A000,S460,R263
A000,S300,C415
A000,S300,C500
A000,S300,H560
A000,S300,P540
A000,S300,R410
A000,S300,R534
A000,S420,J500
B500,S350,S350
A000,S400,F652
A000,S415,K400
A000,S260,N240
A000,S410,K365
A000,S462,C645
A000,S514,T520
A000,S610,E100
A000,S610,J500
A000,S610,M620
A000,S610,S600
A000,S000,T620
A000,S143,M600
A000,S200,S455
A000,S435,S300
A000,S100,E436
A000,S000,C530
A000,S156,B300
A000,S156,J500
A000,S156,T500
A000,S100,D130
A000,S300,J210
A000,S200,V300
A000,S241,R240
A000,S455,V236
A000,S410,C600
A000,S416,D500
A000,S552,G645
